OBJECTID,Shape,id_paradero,id_parada,id_ruta,nro_parada,direccion,tipo_parada,recorrido,codigo_ruta,nombre_ruta,sistema_ruta,tipo_ruta,empresa,longitud,latitud,x_origen_nacional,y_origen_nacional
25,"(4716267.8338, 2249163.7068000045)",53456,90001017,90001,17.0,"CR 46 x CL 50, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.56515144,6.24872143,4716267.8338,2249163.7068
26,"(4712491.4036, 2245969.3566000015)",51553,90001042,90001,42.0,"DG 79 con 9, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59912724,6.21967534,4712491.4036,2245969.3566
27,"(4715115.8983, 2246315.2764000017)",52733,90001026,90001,26.0,"CR 48 19A-53, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57543294,6.22291884,4715115.8983,2246315.2764
28,"(4715057.490800001, 2245734.1951)",52696,90001028,90001,28.0,"CR 48 16-45, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57593501,6.21766291,4715057.4908,2245734.1951
29,"(4713529.774400001, 2249230.5298999995)",51982,90001007,90001,7.0,"CR 70A 43-75, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.58989143,6.24920425,4713529.7744,2249230.5299
30,"(4712474.9308, 2246436.628800001)",51543,90001045,90001,45.0,"DG 79 18A-148, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59929682,6.22389898,4712474.9308,2246436.6288
31,"(4712205.103100002, 2246831.3332)",51401,90001047,90001,47.0,"CR 81 25-34, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.601752,6.22745528,4712205.1031,2246831.3332
32,"(4715207.974700002, 2249777.139700003)",52797,90001014,90001,14.0,"CR 57 x CL 50, Medellin",Reglamentaria,Origen-Destino,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.57475394,6.25422045,4715207.9747,2249777.1397
33,"(4712477.982600001, 2246193.6184)",51545,90001043,90001,43.0,"DG 79 x  16  , Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.59925845,6.22170218,4712477.9826,2246193.6184
34,"(4713995.143300001, 2244174.302000001)",52166,90001037,90001,37.0,"CL 6 Sur 51-30, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.58546336,6.20351366,4713995.1433,2244174.302
35,"(4715233.5749, 2247718.928100001)",52822,90001022,90001,22.0,"CR 51 32-145, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.5744317,6.23561398,4715233.5749,2247718.9281
36,"(4713586.735500001, 2244613.5441000015)",52005,90001038,90001,38.0,"CR 65 x CL 2, Medellin",Reglamentaria,Destino-Origen,303,Circular derecha 303,Circular Derecha 303,Circular,Coonatra,-75.58917218,6.20746663,4713586.7355,2244613.5441
